symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags
ES,ES,500,26628.8,26628.8,24498.5,28173.27,53257.6,48996.99,56346.54,92567d5a-2fea-4dc3-be33-170fc99b0d95,600000,8/10/26 18:45,8/10/26 18:55,BUY,2,50,0.002676801,,7777.625,7775.375,7777.625,225,225,1,0.028938,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,708141d8-273e-4a3b-af9a-8377170ebd7e,600000,8/10/26 18:50,8/10/26 19:00,BUY,1,50,0.002265411,,7778.375,7776.125,7778.375,112.5,112.5,1,0.028935,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,15d925da-7544-43c1-9124-eee6f5a2e839,600000,8/10/26 18:54,8/10/26 19:04,BUY,1,50,0.003084567,,7779.375,7777.625,7779.375,87.5,87.5,1,0.0225,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,0cfcf557-3e86-4296-81c2-0c60b5fede40,600000,8/10/26 18:57,8/10/26 19:07,BUY,1,50,0.002672031,,7779.625,7778.625,7779.625,50,50,1,0.012856,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,79886.4,73495.49,84519.81,00887633-e92e-48d2-8454-a4602c54382a,600000,8/10/26 19:01,8/10/26 19:11,BUY,3,50,0.003053327,,7780.375,7778.375,7780.375,300,300,1,0.025712,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,d7eb1814-8e7e-486b-899f-98ceb9d88996,600000,8/10/26 19:03,8/10/26 19:13,BUY,1,50,0.00238188,,7780.125,7779.125,7780.125,50,50,1,0.012855,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,79886.4,73495.49,84519.81,2f056ac6-e2c7-4c34-92c0-3212dd61736f,600000,8/10/26 19:30,8/10/26 19:40,SELL,3,50,-0.008141504,,7778.125,7775.875,7778.125,-337.5,-337.5,1,0.028936,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,79886.4,73495.49,84519.81,557e4681-9bb2-4301-8d6d-a90bf5f7d635,600000,8/10/26 19:32,8/10/26 19:42,SELL,3,50,-0.011211113,,7777.375,7774.125,7777.375,-487.5,-487.5,1,0.041805,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,f3ba662e-2971-43e7-9d4a-38bc57e2e7db,600000,8/10/26 19:35,8/10/26 19:45,SELL,1,50,-0.000418856,,7776.125,7774.375,7776.125,-87.5,-87.5,1,0.02251,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,c084a7cf-7715-4f01-8b90-3db163628932,900000,8/10/26 15:00,8/10/26 15:15,SELL,1,50,0.003578197,,7784.375,7780.125,7784.375,-212.5,-212.5,1,0.054626,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,2efa656a-4997-432a-96a3-36036eaf54e4,900000,8/10/26 15:08,8/10/26 15:23,SELL,1,50,0.001427415,,7785.625,7784.125,7785.625,-75,-75,1,0.01927,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,35d76261-732b-4068-9e59-18aff5927fe2,900000,8/10/26 16:43,8/10/26 16:58,SELL,1,50,0.002226962,,7775.125,7768.625,7775.125,-325,-325,1,0.08367,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,b9d3477c-3cfa-4372-afb1-1444558753a7,900000,8/10/26 17:50,8/10/26 18:05,SELL,1,50,0.00187115,,7773.875,7773.125,7773.875,-37.5,-37.5,1,0.009649,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,5ebd8ea7-c339-4108-afaa-86f83ac02571,900000,8/10/26 18:50,8/10/26 19:05,BUY,1,50,0.002154272,,7778.625,7776.125,7778.625,125,125,1,0.03215,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,70c25140-1353-42b8-916d-a68d00f71149,900000,8/10/26 19:03,8/10/26 19:18,BUY,1,50,0.004219143,,7780.625,7779.375,7780.625,62.5,62.5,1,0.016068,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,a5d15d68-a775-4d6b-9c14-30c781f1e3a2,1200000,8/10/26 13:57,8/10/26 14:17,BUY,1.0,50.0,0.0019480129703879356,,7788.875,7778.375,7788.875,525.0,525.0,1,0.134990,1,0.0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,b64f22fe-e528-4edb-a4fe-b1015254a2b8,1200000,8/10/26 14:08,8/10/26 14:28,BUY,1.0,50.0,0.002265973947942257,,7788.375,7784.625,7788.375,187.5,187.5,1,0.048172,1,0.0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,8f784ea4-3e30-448f-a7ae-b863cc785fed,1200000,8/10/26 14:13,8/10/26 14:33,BUY,1,50,0.000766946,,7792.625,7788.125,7792.625,225,225,1,0.05778,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,44188890-e8f8-417d-9d84-54da8fbe275b,1200000,8/10/26 14:26,8/10/26 14:46,BUY,1,50,0.002319953,,7794.625,7789.125,7794.625,275,275,1,0.070611,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,996f19da-8804-4859-9cff-acb921cd2be1,1200000,8/10/26 14:42,8/10/26 15:02,BUY,1,50,0.00218022,,7782.625,7791.625,7782.625,-450,-450,1,0.115509,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,167ab3f5-d792-4111-9da5-2fa6dc1e8692,1200000,8/10/26 14:46,8/10/26 15:06,BUY,1,50,0.002032736,,7785.875,7794.875,7785.875,-450,-450,1,0.11546,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,7eca2de0-a558-4a3c-947b-64e43abd121e,1200000,8/10/26 14:53,8/10/26 15:13,SELL,1,50,-0.004669081,,7783.125,7787.125,7783.125,200,200,1,0.051367,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,6f283133-52a6-44c1-9829-74fd77476d58,1200000,8/10/26 14:57,8/10/26 15:17,SELL,1,50,-0.002764712,,7786.875,7784.875,7786.875,-100,-100,1,0.025691,1,0,1,PASS,
